codigo_pais,pais,dep,ciudad,PROV,nomprov,sec,nombremunicipio,idloc,AsientoElectoral,dist,nomdist,zona,nomzona,CIRCUNDIST,RECI,recinto_electoral,cantidadMesas,inscritos_habilitados,Inhabilitados,Depurados
11,ARGENTINA,10,BUENOS AIRES,14,PINAMAR,1,PINAMAR,4371,PINAMAR,1,DISTRITO PINAMAR,1,PINAMAR,0,26083,POR DEFINIR - PINAMAR,6,1226,4,0
11,ARGENTINA,10,BUENOS AIRES,7,QUILMES,1,QUILMES,4139,EZPELETA,1,DISTRITO EZPELETA,1,EZPELETA,0,25186,I-QUILMES EZPELETA-ESC PRIMARIA NRO 52 GRAL. BARTOLOME MITRE.,13,2916,5,20
11,ARGENTINA,85,CHUBUT,9,BIEDMA,1,PUERTO MADRYN,4372,PUERTO MADRYN,1,DISTRITO PUERTO MADRYN,1,PUERTO MADRYN,0,26084,CENTRO DE RESIDENTES BOLIVIANOS WIÑAY,6,1270,10,0
11,ARGENTINA,85,CHUBUT,8,ESCALANTE,1,COMODORO RIVADAVIA,4073,COMODORO RIVADAVIA,1,DISTRITO COMODORO RIVADAVIA,101,ZONA COMODORO RIVADAVIA,0,25303,CENTRO CULTURAL DE COMODORO RIVADAVIA,8,1796,11,1
11,ARGENTINA,21,CORDOBA,5,CAPITAL,1,CORDOBA,3762,CORDOBA,1,DISTRITO CORDOBA,101,ZONA CORDOBA,0,25087,A-IPEM Nº 86 GABRIELA MISTRAL,10,2198,13,12
11,ARGENTINA,21,CORDOBA,5,CAPITAL,1,CORDOBA,3762,CORDOBA,1,DISTRITO CORDOBA,102,ZONA VILLA EL LIBERADOR,0,25154,B-CPC VILLA EL LIBERTADOR,7,1499,5,3
11,ARGENTINA,21,CORDOBA,6,GENERAL SAN MARTÍN,1,VILLA MARÍA,4147,VILLA MARÍA,1,DISTRITO VILLA MARÍA,1,VILLA MARÍA,0,25193,C-IPEM Nº 147 MANUEL ANSELMO OCAMPO,2,414,2,1
11,ARGENTINA,21,CORDOBA,7,RÍO CUARTO,1,RÍO CUARTO,4373,RÍO CUARTO,1,DISTRITO RÍO CUARTO,1,RÍO CUARTO,0,26085,ESCUELA LEOPOLDO LUGONES,2,296,2,0
11,ARGENTINA,21,CORDOBA,8,SAN JAVIER,1,VILLA DOLORES,4374,VILLA DOLORES,1,DISTRITO VILLA DOLORES,1,VILLA DOLORES,0,26086,C.I.C. DISPENSARIO,1,152,1,0
11,ARGENTINA,87,CORRIENTES,1,LAVALLE,1,SANTA LUCÍA,4375,SANTA LUCÍA,1,DISTRITO SANTA LUCÍA,1,SANTA LUCÍA,0,26087,POR DEFINIR - SANTA LUCÍA,2,468,5,0
